Age_ka_BP,d18O_measurement,XGB_anomaly,BiLSTM_anomaly
0.028468499999999997,-8.951,0,0.0
0.028485600000000003,-9.179,0,0.0
0.0285022,-9.16,0,0.0
0.0285183,-9.094,0,0.0
0.0285347,-9.286,0,0.0
0.028551200000000002,-9.224,0,0.0
0.0285672,-9.362,0,0.0
0.0285831,-9.469,0,0.0
0.0285993,-9.251,0,0.0
0.0286158,-9.655,0,0.0
0.0286323,-9.376,0,0.0
0.0286481,-9.844,0,0.0
0.028664000000000002,-9.975,0,0.0
0.0286801,-9.597,0,0.0
0.028695699999999998,-9.992,0,0.0
0.0287114,-9.661,0,0.0
0.0287271,-9.65,0,0.0
0.0287426,-9.879,0,0.0
0.028758600000000002,-9.905,0,0.0
0.0287748,-9.999,0,0.0
0.0287899,-10.265,0,0.0
0.0288051,-9.861,0,0.0
0.028821100000000002,-10.106,0,0.0
0.0288372,-10.084,0,0.0
0.0288529,-10.259,0,0.0
0.0288687,-10.102,0,0.0
0.028884299999999998,-10.463,0,0.0
0.0289009,-10.266,0,0.0
0.0289166,-10.127,0,0.0
0.0289329,-10.132,0,0.0
0.0289495,-9.937,0,0.0
0.0289644,-9.484,0,0.0
0.028980799999999998,-9.386,0,0.0
0.028997699999999998,-9.109,1,0.0
0.0290146,-9.149,0,0.0
0.0290323,-8.953,0,0.0
0.0290501,-8.912,0,0.0
0.0290674,-8.89,0,0.0
0.029086400000000002,-8.9,0,0.0
0.0291063,-8.768,0,0.0
0.0291263,-9.045,0,0.0
0.029147700000000002,-8.947,0,0.0
0.0291699,-8.836,0,0.0
0.0291924,-8.861,0,0.0
0.0292195,-8.834,0,0.0
0.0292627,-8.671,0,0.0
0.029304,-8.745,0,0.0
0.0293432,-8.521,0,0.0
0.0293784,-8.58,0,0.0
0.0294125,-8.387,0,0.0
0.0294459,-8.564,0,0.0
0.029478300000000002,-8.416,0,0.0
0.029509,-8.656,0,0.0
0.0295392,-8.63,0,0.0
0.0295693,-8.692,0,0.0
0.0295988,-8.589,0,0.0
0.029628699999999997,-8.641,0,0.0
0.029658,-8.514,0,0.0
0.0296879,-8.681,0,0.0
0.0297174,-8.284,0,0.0
0.0297467,-8.388,0,0.0
0.0297758,-8.473,0,0.0
0.0298047,-8.38,0,0.0
0.0298337,-8.173,0,0.0
0.0298632,-8.341,0,0.0
0.0298937,-8.325,0,0.0
0.029923500000000002,-8.504,0,0.0
0.0299524,-8.435,0,0.0
0.0299815,-8.323,0,0.0
0.030011700000000002,-7.933,0,0.0
0.030042100000000002,-8.017,0,0.0
0.0300731,-8.138,0,0.0
0.0301034,-8.59,0,0.0
0.0301341,-8.548,0,0.0
0.0301645,-9.062,0,0.0
0.0301965,-8.712,0,0.0
0.030229600000000002,-9.009,0,0.0
0.030264299999999997,-9.207,0,0.0
0.030301500000000002,-9.379,0,0.0
0.030341,-9.048,0,0.0
0.0303845,-9.284,0,0.0
0.030420000000000003,-9.538,0,0.0
0.0304504,-9.666,0,0.0
0.0304781,-9.668,0,0.0
0.0305044,-9.985,0,0.0
0.0305304,-9.701,0,0.0
0.0305553,-9.774,0,0.0
0.0305793,-9.725,0,0.0
0.0306028,-10.128,0,0.0
0.0306258,-9.75,0,0.0
0.030648599999999998,-10.321,0,1.0
0.0306716,-9.959,0,0.0
0.0306937,-10.068,0,0.0
0.030716,-9.804,0,0.0
0.0307381,-10.071,0,0.0
0.0307602,-10.14,0,0.0
0.0307815,-9.874,0,0.0
0.030802600000000003,-10.12,0,0.0
0.030824300000000002,-10.237,0,0.0
0.030846,-9.989,0,0.0
0.030867000000000002,-9.989,0,0.0
0.0308878,-9.876,0,0.0
0.0309098,-9.963,0,0.0
0.0309317,-9.722,0,0.0
0.0309528,-9.711,0,0.0
0.0309731,-9.583,0,0.0
0.030994,-9.784,0,0.0
0.031015499999999998,-9.479,0,0.0
0.0310366,-9.745,0,0.0
0.031058,-9.489,0,0.0
0.0310795,-9.74,0,0.0
0.0311011,-9.432,0,0.0
0.0311219,-9.516,0,0.0
0.0311433,-9.426,0,0.0
0.031165400000000003,-9.674,0,0.0
0.0311866,-9.815,0,0.0
0.0312083,-9.68,0,0.0
0.0312291,-9.482,0,0.0
0.0312505,-9.604,0,0.0
0.0312718,-9.683,0,0.0
0.0312937,-9.685,0,0.0
0.0313167,-9.661,0,0.0
0.0313403,-9.822,0,0.0
0.0313639,-9.629,0,0.0
0.0313876,-9.751,0,0.0
0.0314121,-9.464,0,0.0
0.0314377,-9.753,0,0.0
0.0314645,-9.729,0,0.0
0.0314923,-9.779,0,0.0
0.0315222,-9.532,0,0.0
0.0315546,-9.707,0,0.0
0.0315885,-9.503,0,0.0
0.0316117,-9.855,0,0.0
0.0316323,-9.703,0,0.0
0.0316509,-9.714,0,0.0
