site_name,Age_ka_BP,d18O_measurement,XGB_anomaly_95
Cueva del Diamante,72.15929669,-8.13,1
Cueva del Diamante,72.50389838,-7.94,0
Cueva del Diamante,72.84830918,-8.4,1
Cueva del Diamante,73.50224162,-8.3,1
Cueva del Diamante,73.75209606,-8.5,1
Robinson cave,72.04206635,-8.1,0
Robinson cave,72.17967675,-8.44,0
Robinson cave,72.31764969999999,-8.29,0
Robinson cave,72.45488064,-8.28,0
Robinson cave,72.58875592,-8.44,0
Robinson cave,72.71857265,-8.03,0
Robinson cave,72.84801595,-8.27,0
Robinson cave,72.97940399000001,-8.12,0
Robinson cave,73.10090163999999,-8.11,0
Robinson cave,73.21384569,-8.28,0
Robinson cave,73.326499,-8.28,0
Robinson cave,73.43999295,-8.43,0
Robinson cave,73.55274886000001,-8.31,0
Robinson cave,73.66580264,-8.29,0
Robinson cave,73.72235034,-8.57,0
Robinson cave,73.7793427,-8.33,0
Robinson cave,73.83420401000001,-8.19,0
Robinson cave,73.88811533,-8.14,0
Robinson cave,73.9358683,-7.75,0
Santana cave,72.17305077,-5.37714053292,0
Santana cave,72.3541086,-5.10451794489,0
Santana cave,72.52761061,-5.20045446364,0
Santana cave,72.70802427,-5.16350127628,0
Santana cave,72.88378809,-4.76938028366,0
Santana cave,73.06060695000001,-4.76222738186,0
PP29,72.32925088,-4.35,0
PP29,72.71143265,-4.29,0
PP29,73.09579625,-4.21,0
PP29,73.29142102,-3.92,0
PP29,73.68092084999999,-3.66,0
Lithophagus cave,73.70098304999999,-6.63,0
Coves de Campanet,72.16778707,-3.07033637063,0
Coves de Campanet,72.41030383,-3.06509910656,0
Coves de Campanet,72.65380093,-3.2556357612,0
Coves de Campanet,72.89703004,-2.93242175019,0
Coves de Campanet,73.14082076,-3.28880510029,0
Coves de Campanet,73.38400251,-2.98529317792,0
Coves de Campanet,73.62541635,-3.64044997337,0
Coves de Campanet,73.82514653,-3.09377936217,0
Coves de Campanet,73.96376419,-2.99028104846,0
Buraca Gloriosa,73.43066837,-3.0897,0
Buraca Gloriosa,73.54421228999999,-2.729,0
Buraca Gloriosa,73.64158255999999,-2.3104,0
Buraca Gloriosa,73.74768149,-3.141,0
Buraca Gloriosa,73.85156053,-2.5558,0
Buraca Gloriosa,73.96457382999999,-3.135,0
Buraca Gloriosa,72.00142887,-2.473,0
Buraca Gloriosa,72.04097964,-2.852,0
Buraca Gloriosa,72.08458922999999,-3.286,0
Buraca Gloriosa,72.13143855000001,-3.454,0
Buraca Gloriosa,72.1788323,-3.978,0
Buraca Gloriosa,72.22543270999999,-3.685,0
Buraca Gloriosa,72.27126736,-3.52,0
Buraca Gloriosa,72.31421604,-3.539,0
Buraca Gloriosa,72.36142254,-3.62,0
Buraca Gloriosa,72.40334703,-3.487,0
Buraca Gloriosa,72.4460035,-3.261,0
Buraca Gloriosa,72.48530543999999,-3.574,0
Buraca Gloriosa,72.52895944999999,-3.578,0
Buraca Gloriosa,72.57190813,-3.595,0
Buraca Gloriosa,72.61614577,-3.74,0
Buraca Gloriosa,72.66482446,-3.664,0
Buraca Gloriosa,72.71555033,-3.786,0
Buraca Gloriosa,72.75694132,-3.491,0
Buraca Gloriosa,72.80757034000001,-3.309,0
Buraca Gloriosa,72.85061189,-3.743,0
Buraca Gloriosa,72.89234374,-3.519,0
Buraca Gloriosa,72.93633132,-3.686,0
Buraca Gloriosa,72.98194485,-3.515,0
Buraca Gloriosa,73.03040435,-3.522,0
Buraca Gloriosa,73.07353936,-3.401,0
Buraca Gloriosa,73.12201031,-2.812,0
